Nota,Texto
5,"Excelente com funções realmente úteis, perfeito para meu uso, recomendo para quem não quer um smartwatch caro, melhor smartband de todas."
5,Gente estou maravilhada com meu smartwatch da samsung. Simplesmente lindo. Conecta com xiaomi. Tem muitas opções. Notificação de whatsapp. Spotify. Chamadas. Localiza seu celular. Tem a função de vc pôr sua foto. Para seus treinos então maravilhoso. Meu pulso é muito fino e ficou perfeito. Comprem sem medo. Vcs vão amar como eu estou amando o meu.
4,"O produto é muito bom. Claro, não é 100%. Mas cumpre legal o seu propósito. Esteticamente é igual ao da apple. A pulseira de silicone que vem junto, é bem pequena. Não coube no meu punho. Mas a de couro sim. A função de responder whatsapp funciona bem. Mas às vezes, ao desconectar o bluetooth e conectar de volta, fica sem essa função de responder. Aí tenho que desconectar do whatsapp do celular e voltar a conectá-lo lendo o qr code, igual como fazemos no whatsapp web. Ou seja, tem o problema, mas tem a solução! bateria dura uns 4 dias. No mais, vale muito o preço pedido."
5,"Simplesmente amei este relógio! ele é realmente impressionante e cumpre tudo o que promete. A performance é ótima, e ele é incrivelmente completo. Fiquei surpreso com a quantidade de recursos: além de todos os treinos monitorados e o gps/localização super preciso, ele ainda tem a funcionalidade de responder mensagens do whatsapp diretamente no pulso, o que é um diferencial enorme. E para os momentos de lazer, ainda tem uns jogos super divertidos. Super recomendo, vale cada centavo!."
5,"Achei bom pelo valor, a função do whatsapp funciona, bateria duas em média 48h usando as funções do relógio conectado no celular."
5,"Gostei muito, tem muitas funções preciso aprender kkkk mas achei muito bom e útil."
5,"Testei uns dias para conseguir ter uma opinião sobre o produto. Os relógios da garmin são excelentes. O forerunner 55 é um relógio de entrada, tem um valor um pouco elevado comparado a outros de entrada no mercado. Mas, vamos lá, estou usando tem uns 5 dias, fazendo atividade física diariamente e, não tive necessidade de carrega-lo, o, que me agrada. Sobre as sua funcionalidades, tudo muito intuitivo , bem fácil de usar, desde a escolha do exercício ao acompanhamento do batimento cardíaco. Estou satisfeita com meu relógio."
5,"Perfeito, lindo disgner. Tenho o punho fino e ficou ótimo para mim."
5,"Relógio muito top, excelente pra quem tá começando e quer qualidade por um preço razoável pra caber no bolso, 100% preciso. Me embananei nos 2 dias depois foi só felicidade. Pra quem quer se dedicar e quer um investimento e os pais não podem pagar tanto ou não tens muito dinheiro, o relógio entra perfeitamente no orçamento."
5,"O produto já era conhecido. Garmin!! não tem o que falar. Perfeito!! capta rápido os satélites, sincroniza fácil com strava. Enfim. Perfeito!."
5,"Vale muito a pena o custo benefício desse produto. Ele atende bem ao propósito de treinos pra mim, que são musculação e corrida. Pratico a corrida de rua desde 2017, já fiz 11 meias maratonas e uma ultramaratona de 50km. Ele será meu companheiro de treinos e minhas próximas provas de curta, média e longas distancias."
5,"Garmin é garmin sem explicação relógio top, além do mais é o mais novo lançamento da garmin, pra quem quer custo benefício entre o 55 ou 245 sugiro o 165 pois é o intermediário que atende super bem."
5,"Relógio muito leve e bonito. Bem completo e um dos melhores custo benefício da garmin para as minhas atividades no momento. Produto original (verifiquei número de série no site da garmin), porém não veio lacrado e também não veio nota fiscal."
5,"Eu já sabia da qualidade do relógio, minha maior dúvida era o tamanho dele no meu pulso que é bem fino. Então tirei a foto para mostrar, fica grande sim, mas acho que o tamanho é super aceitável. Recomendo demais, depois de dois dias usando a gente não consegue mais saber como sobreviveu tanto tempo sem ele. Kkk na corrida principalmente, é essencial."
5,"O produto não vem lacrado, mas ate agora funciona muito bem e é original (conferi numero de serie no site do garmin)."
5,"Excelente produto. Acho caro. Dizer que vale cada centavo, não sei dizer. Mas gosto muito da função de bateria corporal. Informações que gostaria de saber antes de comprar: 1) a pulseira me incomoda. Pra quem tem o pulso mais gordinho, fica marcando; 2) não dá pra selecionar, no iphone pelo menos, quais apps mandam ou não notificações. As notificações são todas que aparecem no seu celular. Muito satisfeito com a compra!."
4,"Muito bom. Várias coisas úteis como chat gpt q realmente funciona, as vezes se tiver em um ambiente com muita pessoa ele pode nao entender com clareza. Única coisa ruim é q existem alguns bugs no negocio da música pois qiando eu botava p pausar a música q tocava no meu fone no relógio a música ia automaticamente p relogio, mas tem como resolver isso e depois q arrumei ficou dboa."
4,"Meu pulso é fino, então ficou muito bom. Fácil de usar, muito completo e amei a pulseira extra para usar com roupas mais arrumadas em momentos de passeio!."
4,Eu gostei do relógio só não tô conseguindo responder as mensagens nele.
5,"Pouco tempo de uso, mas já estou amando. Meu segundo da amazfit, o outro durou 3 anos e até o último dia me atendeu muito bem."
5,Relógio top ! qualidade e precisão dos aplicativos impressiona.
5,"Realmente o melhor custo benefício, muito completo mesmo."
5,Excelente custo benefício.
5,Ótimo produto.
5,Até o momento eu gostei.
5,Produto de excelente qualidade.
5,"Surpreendentemente top! tela de excelente qualidade, cumpre perfeitamente o que promete."
5,Perfeito.
5,"Superou minhas expectativas com a gama de funções e modos que existem. A bateria dura um pouco menos do que prometem, cerca de 4 dias usando ao máximo todas as funções, mas de resto, pelo valor, me surpreendeu bastante."
5,"Relógio muito bom, até agora a bateria já durou 15 dias, mais tbm desativei algumas funções q consomem muito a bateria, ótimo custo benefício. Vale apena."
4,"Eu achei um ótimo smartwatch de entrada, e é muito bonito. Nada além disso. Boa conexão com app, boas medições, uma tela muito linda, onde consegue-se enxergar bem mesmo no sol. Resistente a água, pra banho e chuva, não pode mergulhar, então não serve pra natação. Ele tem boas configurações de notificação, pode escolher de quais apps quer que apareça. Não tem como responder mensagens por exemplo, e o texto nem sempre aparece, mas pesquisei e parece que isso foi por causa de uma atualização de segurança e privacidade do android. Até dá pra fazer e atender ligação, se o celular estiver perto, inclusive pra quem tem duvida, não tem como escutar musica sem o celular, só controla-la. Mas pra mim que queria um smartwatch basico e que fosse bonito pro dia - a - dia, gostei bastante."
5,"Qualidade impecável, gps, com boa conectividade, música também, e restante também, bateria dura 5 a 6 dias uso por dia 4 a 7 horas o dia."
5,"Produto muito lindo e confortável, a bateria até que dura bem, não tive coragem de tomar banho com ele mas acredito que dá pra fazer bem tranquilo até porque tem resistência a água pra isso."
5,"Adorei ter recursos para o dia a dia, como resistência à água, boa duração da bateria e o conforto de usar uma pulseira metallica para ocasiões especiais e uma de borracha para esportes."
5,"Relógio muito bom, opção de colocar foto personalizada."
5,"Ótimo relógio, estou gostando muito. A bateria dura bastante entre 4 a 5 dias."
5,"Custo benefício excelente, bateria dura bastante, material de boa qualidade."
5,"Eu tenho um apple watch, a ideia é usar algo próximo do que aw é, mas estou me surpreendendo. É claro que ele nao tem nfc, mas não encontrei algo que meu relógio da maçã faz a mais. A bateria do t rex 3 é algo absurdo. Realmente ele tem umas poucas limitações com o sistema ios. O tamanho me assustou um pouco, estou tentando me acostumar, mas posso garantir que é um excelente relógio, estou gostando muito."
5,"Achei que ficaria muito grande no pulso, mas ficou muito bem, leve, da para ver que é bem resistente qualidade da tela é sensacional."
5,Relógio sensacional. Melhor que samsung e huawei que ja pude testar!.
5,Estava indo tudo bem até que acordei com alergia no pulso depois de uma semana usando direto tirar do pulso.
5,"Tá pra ser inventado um relógio com essa qualidade e com esse preço, desconheço melhor custo-benefício."
4,"O relógio é lindo ,mais não está aparecendo meu whatsapp nem instagram nem as msgs."
5,"E um produto bom e de custo beneficil exelente , superou minhas esctativa."
5,Muito top recomendo.
5,Ótimo relógio.
5,Muito bom o produto valeu a pena.
5,"Pra quem está com dúvida, este é mesmo o solar plus rt3. Podem comprar tranquilo."
5,"Melhor custo benefício de 2023. Tinha comprado um ticwatch c2+, com wearos 2, devolvi. Sistema operacional da google todo mal acabado e já descontinuado. Esse haylou surpreendeu muito, e sempre no bom sentido. A pulseira é muito boa e confortável, o display é muito bonito e a bateria está durando bem sem as notificações e always on display(o que mais consome bateria!). Monitora sono automaticamente, vi comentários negativos mas eu não tenho do que reclamar. Na verdade é bom, pq assim não esqueço de ativar. No mais, todas as funcionalidades que ultilizei foram satisfatórias. O produto é original. Configuração muito fácil e não tive do que reclamar sobre o app pq fiz tudo solicitado, dando as permissões corretas e desabilitando a opção de pausar o app por inatividade, é só configurar com calma."
5,"Ótimo custo benefício, atende o que promete. Ainda não testei se é aprova d'água, mas parece ser. Só achei um pouco lento para mostrar quando vira o pulso, mas nada que incomode."
5,"Edit: usando a 4 meses, 100 % sem problema, medições muito precisas e a parte de ""esportes"" muito completa, com muitas funções, super recomendo. Vou comprar outro pq uso 24h e acabei arranhando ele, recomendo tbm procurar uma película. Estou usando a 2 dias ! até agora 100%. Monitoramento de bpm e oxigenação, além de monitoramento do sono, muito bom e preciso. Pelo uso até agora a bateria deve durar uns 7 dias. Com tudo ligado, inclusive a tela "" sempre ligada"". Pouco tempo de uso, mas aprovado com certeza. Recomendo a compra."
5,"Relógio muito bom simples e bonito, ótimo custo benefício. A pulseira poderia ser um pouco melhor mas compensa em varias outras coisas e como é removível é fácil encontrar outra."
4,"Apesar de não ter conhecimento desse, mesmo assim comprei. Atendeu todas as espectativas. Recomendo 👍."
5,"Exelente. Vale super a pena, ja mergulhei com ele, é a prova da água mesmo, bateria top, mas nao durou 15 dias, ja carreguei 2 vezes durou 10 dias, pra mim ta exelente, aprovadissimo."
5,"Produto altamente recomendado. Em uso continuo com todas as funções em automático, leituras, bluetooth, virar para ligar a tela e essas coisas e durou 8 dias. Em uso menos severo por cerca de 15, 20 dias tranquilo. Vale muito a pena!."
5,"Estou usando faz uma semana, corro com ele, marca bem a quilometragem, tomo banho com ele, mergulhei ele na água e está intacto, faz 7 dias que estou usando e a bateria está em 54%, mas está com todas as funções ativas, acredito que limitando algumas funções ele dure em torno de uns 20 dias."
5,"Vamos ver em relação a resistência, veio conforme o anunciado. Parece resistente."
5,"Simplesmente amei! eu tinha medo de ficar muito grande, pois meu pulso é fino. Mas achei que ficou ótimo. Ainda mais se posicionar ele na posição adequada recomenda pelo fabricante, para leitura correta dos batimentos e oximetria. Sincronização ótima com meu iphone 16pro max. Muitos recursos e a bateria dura muuuitos dias. Super recomendo."
5,"Perfeito, podem comprar sem medo, tenho a pele parda e estava com receio se o prata ia ficar legal, e ficou ótimo, a pulseira é num cinza bem clarinho, muito grata pela compra, recomendo! obrigada! ❤️."
5,"Smart perfeito! eu tenho um mi band 9 esse não deixa a desejar. Lindo, brilho muito alto. Super indico. Lindo demais!. Bateria, no meu caso, tem durado uma semana. Mais depende do que vc habilita. Amoooo!."
5,"Por enquanto estou testando, e estou gostando muito. Tive um fit 3 e não curti tanto talvez pq utilizava no ios, agora estou com um android. Vamos ver esse aqui, por enquanto top, lindo de mais e muito fluido."
5,"Ao abrir a caixa de cara fiquei impressionado com o material do relógio e sua beleza. Depois de parear e configurar com o celular e atualizar o próprio relógio, estou com toda certeza feliz pela compra."
5,"Excelente, smartwatch perfeito, a huwaei está mandando bem demais, o sistema é muito fluido e os sensores são muito precisos, super recomendo!!!. Em relação a bateria, dura tranquilamente 1 semana, e carrega em menos de 1 hora, simplesmente incrível!!!."
5,Excelente produto.
5,"Comprei pra esposa que pratica esporte, corrida, ciclismo e musculação ela está adorando é completo o relógio pra atividade física e tem os planos até de dieta."
5,"Relógio muito bonito, leve e com boa construção em material! recomendo!."
5,"Muito bom, atendeu as minhas expectativas."
4,"Produto leve, tamanho perfeito, a prova d’água e sistema fluido. Só dei 4 estrelas porque faltou nfc de pagamento."
5,É perfeito. Amei demais. Ele é do tamanho perfeito e tem muitas funcionalidades! funciona tudo certinho. Vem com manual e carregador usb.
5,"Muito bom, a bateria dura muito usando direto. É muito delicado se encaixa perfeito no pulso feminino. Comprei de presente para minha esposa e ela amou!."
5,Pra configurar precisa ter o app mi fitness da xiaomi. Mas é fácil de mexer. Recomendo.
5,Perfeito super recomendo.
5,"No geral eu estou gostando, ela é leve, o toutch bom, funções até o momento funcionando bem, único ponto negativo é a película qie veio com ela, ela não cola nas bordas o que faz acumular sujeira com o tempo, melhor deixar sem ou tentar achar a específica na medida certa."
5,Muito bonito e funcional.
5,Muito 👍.
5,Relógio top pode comprar sem. Medo.
4,"Contém bastante funções de personalização e medidas de saúde, a saída de áudio e sistema de notificações são medianas. Contém app próprio e serve bem para acompanhar caminhadas e exercícios!."
5,"Esse smartwatch me surpreendeu por sua qualidade e funcionalidades, achei ótimo! a conexão com iphone deixa a desejar, disparo de câmera não funciona, troca de música só se o celular estiver colado no relógio, achar o telefone também não funciona, e outras. Dentro do que eu preciso, supre bem minhas necessidades. Me surpreendeu para natação na detecção do nado e detalhamento das chegadas."
5,"Funciona muito bem, tinha outro da maçã porém a bateria durava pouco, esse com ajustes certos perde 10 a 15 por cento por dia, ele atende ligação por zap, coisa que o outro não fazia, tem mais sensores de saúde, que eu preciso, pontuação do sono mesmo, precisava. Demorei um dia para aprender mexer, e ainda continuo aprendendo, ele ensina dicas de mexer, tem microfone, alto falante, tá valendo cada centavo."
5,"Muito lindo! a proporção com meu pulso (fino) ficou boa. Uso iphone, então há limitações: não é possível salvar musicas nele, responder mensagens ou baixar aplicativos. Mas o restante das funcionalidades são perfeitas, o gps é muito bom."
5,"Pra vc que tem um iphone e quer um relógio focado em atividades físicas e não quer investir pesado, esse é um ótimo relógio. A huawei é bem conhecida pelos seus sensores e a precisão deles é muito boa. Ele tbm conta com planos de treino inteligentes para corredores, além de vários modos de treino. Infelizmente não faz a contagem de repetições pra quem faz treino de força. A bateria dura em media 5-6 dias com todos os sensores ativos e fazendo 4-5 atividades por semana. No geral, estou curtindo bastante."
5,"Pulseira aveludada,confortável e sofisticado."
5,"Ótimo relógio, com duas pulseiras e a bateria dura muito, muito bonito e estiloso gostei muito e recomendo."
5,"Gostei do custo benefício, bonito e prático."
4,"Top ,só não funciona no braço esquerdo somente no direito."
5,Muito bom. Marca tudo certinho vale a pena comprar.
4,"O relógio é presente para familiar, foi enviado para outro país, está funcionando bem."
5,Muito divertido e útil.
5,"Aparelho bom, cumpre o prometido! ligações de voz nítidas! uso de chip onde podemos saber a localização exata da criança! também faz videochamadas!."
5,"Melhor presente para as minhas filhas. Funciona super bem, a ligação é super nítida e a chamada de vídeo tbm, de ótima qualidade e bem divertida. As crianças acharam bem fácil de mexer e pelo app faço todo o acompanhamento, muito bom."
4,Comprei dois. São úteis para quem se preocupa com os filhos na escola.
5,"Muito bom e prático. Uma dica para quem encontrar dificuldade em sincronizar com o celular e não estiver conseguindo. Entre em configurações do smartwatch e vá até opção sobre, e depois a opção restaurar de fábrica após aparelho ligar voltar em configurações e procurar opção para habilitar a função de bluetooth aí só mandar procurar no celular e seguir as instruções. Nos 2 que foram comprado fiz isso e sincronizou corretamente e sem erro."
4,"Gostei, embora descarrega muito rápido!."
5,Boa qualidade e funcionalidade.
5,"Estou adorando , ótimo produto!."
5,"Perfeitooo original, eu ja tinha um modelo anterior peguei esse top de mais."
5,Os produtos da apple são sempre perfeitos.
5,Maravilhoso!.
5,Muito bom mas não tem a opção natação triste pq comprei só pra isso.
4,"Eu gostei (tinha a miband 8). Contudo, comparando com a 8, por mais que essa tenha ""melhores sensores"" etc, senti essa miband9 inferior. Nos relatórios de treino, ela não traz a mesma quantidade de informações que a 8, não entendi porque. Além disso, a tela é maior? sim, mas tem uma borda grossa horrorosa, que faz com que seja aparentemente inferior. Tem maior iluminação de tela? sim, contudo não é um bom destaque. Parece mais leve, não me causou alergia no braço até agora e tudo funciona bem. Sinceramente, não vi diferença pra miband8, e não compraria novamente, deveria ir logo pra miband10 (pensando em querer upgrade e tal). Não fui, porque além do preço ser mais alto, não tem utilidade pra minha necessidade que é acompanhar o sono, treinos etc (sem natação). Ah, e só tem algumas poucas telas de fundo/ utilitárias (e são feias e nada práticas). Então mais um quesito que a 8 ganha. Então se você estiver pensando em comprar uma, compre a miband8, vai pagar menos, e vai ter a mesma qualidade que essa. Fora que é bem mais bonita. Porém estou satisfeita. Duração da bateria continua excelente."
5,Gostei muito.
5,Amei esse relógio ⏰️. Já é o terceiro relógio xiaomi que tenho. Vale a pena.
5,Muito bom. Ótima qualidade! veio com carregador e manual. Tudo certo e original !.
5,"O relógio é simplesmente perfeito! pra quem quer um garmin “menos grosseiro” que foi essa opção pra mim, prático esportes porém trabalho clt então ele é uma máquina porém delicado! gps sem igual, treino de força bizarro! no app da garmin conect você consegue montar treino disponível lá, juro é outro mundo! o relógio é uma máquina! carreguei ele completo no dia 16/05 e hoje 21/05 ainda está com 32% de bateria! monitora seu sono, te dá alertas pra hidratação (água) tem spotify onde você coloca sua playlist e pode correr sem o celular, juro é bizarro, vale cada centavo! só comprem!."
5,"Excelente produto! havia ficado com receio de não ser original, então entrei com contato com o suporte garmin e verifiquei, produto original! veio tudo certinho. Adorei a compra."
5,"Troquei o venu 2s (40mm) por esse (42mm) e fiquei com medo de ficar muito grande no meu pulso mas ficou perfeito. Para quem quer quer manter um estilo de vida ativo, ter métricas de saude e um incentivo pra treinar com o garmin coach essa linha de garmin oferece muitas funcionalidades sem a aparência grosseira de outros modelos esportivos da marca."
5,"Amei meu produto!! o relógio é muito eficiente!!! é lindo!!. Eu havia visto em alguns comentários que era grande, porém eu não achei… pra mim ficou perfeito!!. Ele se conectou super com meu iphone. É um relógio rápido para aprender a mexer!!. Sem comentários adorei de verdade!!. Ahh e a bateria é um caso a parte… você usa a semana inteira e não precisa recarregar!! maravilhoso!!!."
5,"Pesquisei muuuito antes de comprar e estava em dúvida entre ele e o gts 4 mini. Optei por ele porque tem memória interna e maior resistência à água, além de ser mais fácil de encontrar nas lojas oficiais da amazfit. Com pouco mais de uma semana de uso posso dizer que é realmente um ótimo custo benefício para quem busca um smartwatch com monitoramento de exercícios e sono. Lembrando que apesar da resistência a àgua, ele não é adequado para a prática de natação, tanto que esta opção de esporte não está disponível nele. Digo isso pois vi muitas avaliações reclamando que o relógio estragou depois de nadar com ele. Fora isto, é tranquilo tomar banho (não muito quente) e molhar ele durante o dia ou na chuva. O gps também é muito bom, demora alguns segundos para conectar ao iniciar um treino mas nada demais. É bem exato e não perde a conexão durante o treino. Ele é confortável e não é muito grande, esteticamente me agradou muito. Sobre a bateria: para quem faz uso pesado como eu (monitora o treino todos os dias, durante 1h ou mais, verifica várias funções do relógio durante o dia) ela dura de 5 a 6 dias, o que eu considero bem adequado. A conectividade dele com o iphone é através de bluetooth e é ótima, nunca tive problema com isso. Comprei pela loja oficial da amazfit aqui no ml e é o que eu recomendo. Zero arrependimentos, ótimo custo benefício!."
5,"Ele é maravilhoso, ótimo, bateria muito boa recarrego uma vez por semana, conta calorias, conta quantidade de passos, batimento cardíaco, muito bom amei super recomendo."
5,"Eu amei! comprei para usar nas corridas e nos treinos, ele mede as frequências cardíacas durante e as calorias, além disso recebe mensagens do whatsapp e instagram, estou amando! meu celular é iphone e não tive problema em parear."
5,"Comprei em março, coloquei capinha pra proteger e não molhei nunca, ontem simplesmente parou de funcionar, já dei carga e nada. Poderiam me dar um feedback por favor? já mandei mensagem no privado."
5,"Smartwatch muito top para atividade fisica, único problema que tiver foi com a demora de conectar o gps que precisa esta em lugar aberto para dar sinal."
5,"Comprei de presente para meu namorado,ele adorou,relógio megaaaa leve,da uma sensação de ser frágil mas ele é bom, a gente edita tudo pelo aplicativo no celular."
5,"Acabei de receber o produto e veio errado, comprei um relógio e veio isso aí, nem sei o que é isso. Comprei para os dias dos pais e agora?."
5,Muito bom.
5,"Perfeito, porém veio um pouco arranhado."
5,O custo-benefício é imbatível!.
5,Muito bom o relógio vale a pena comprar ele e também é aprova d’água.
5,"Marca bem a corrida, tem uma divergência de precisão de 100m, ótimo custo benefício, terceiro haylou que tenho."
5,"Muito bom, responde bem no app, recursos para o dia a dia, o único detalhe que não segura a linguagem, sempre altera sozinho, recomendo a todos no ml."
5,Superou minhas expectativas! bom para treino intervalado tendo opção de alerta de ritmo com fácil programação e o virtual pacer ajuda bastante nos longões e rodagagens ritmadas.
5,Gostei muito do produto eu tinha visto alguns vídeos sobre o bip 6 antes de me decidir e pelo preço vale a pena sem falar que a bateria está durando muito eu faço uso básico caminhar e academia claro que se fizer um uso mais intenso vai diminuir mas pra mim está bom eu fiquei meio em dúvida quanto ao tamanho mas ficou bom mesmo eu tendo pulso fino.
5,"Produto de melhor custo beneficio do momento! excelente smartwatch, para acompanhamento de saúde, treinos indoor e outdoor, etc. Um ponto alto é que o treino de força ele reconhece a maioria dos exercícios de membro superiores automatico, faz a contagem das repetições de forma exata, na hora do intervalo é só colocar a carga q utilizou, e ao final, caso ele nao tenha reconhecido o exercício, vc pode inclui-lo. Ao final sai um relatorio com a imagem dos musculos treinados. Muito completo! medição do sono bem precisa, sono leve, profundo e rem. Excelente compra para quem está na dúvida."
5,"Produto magnífico, superou minhas espectativas …. Super indico …. Gps fenomenal …… sem contar do aplicativo de batimento e saúde …. Topssimo …."
5,"Fique muito satisfeito com o que o relógio oferece. Ainda não testei todas as funções, mas o pouco que usei já deu pra perceber o quanto é completo. Fiz uma comparação com um apple watch correndo 5km marcou igual ao da apple."
5,"O relógio é maravilhoso, vim de um garmin e até agora estou bastante satisfeito. No meu braço, que é fino, ainda assim ele fica muito bem, inclusive ele é relativamente leve. As funções que ele possui atendem prontamente às necessidades diárias. Uso num iphone 16 e a única coisa que ele não faz, que pra mim não faz diferença, é responder às mensagens do whatsapp, no resto é tudo compatível. Ainda não experimentei o seu potencial por completo, até porque são muitas as funções para explorar, mas para as minhas necessidades diárias ele supera as expectativas."
4,"4 estrelas apenas por um fator. A propaganda são 27 a 40 dias de bateria, e não chega nem perto disso! o meu tá ficando uns 10/11 dias. Mas todo o resto vale cada centavo!. Compraria novamente, levando em consideração que ainda assim é um tempo ótimo para um smartwatch. Apenas uma dor de cotovelo por não durar o que eu esperava kkk."
5,"Mudei do amazfit trex pro, para o t rex 3. Fui do muito bom, para o excelente."
5,"Excelente relógio, treino musculação todo dia perfeito as marcações dos exercícios, prático mtb de duas a três vezes por semana abri mão do meu ciclo computador só uso o relógio agora, uso whatsapp o dia todo por conta do meu trabalho a maioria das notificações acompanho por ele e mesmo assim a bateria tem durado em média 15 dias agora se usar ele sem todos esses recursos acredito que dure uns 25 dias a bateria, estou muito satisfeito com o relógio."
5,"Superou minhas expectativas, relógio muito top e completo, meu interesse era um relógio com rotas esse me atendeu, e muito bonito."
